 北京润府, 大兴 , 次渠 ,570万, 3室2厅2卫 ,99平米, 57576元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_484363788.html
 北京德贤华府, 大兴 , 生物医药基地 ,270万, 2室2厅1卫 ,70平米, 38571元/平米 ,南,中层,精装修,https://esf.fang.com/chushou/3_484370639.html
 银河中心 , 通州 , 次渠 ,210万, 2室2厅1卫 ,60平米, 35000元/平米 ,东西,低层,精装修,https://esf.fang.com/chushou/3_484371041.html
 北京润府, 大兴 , 次渠 ,514万, 3室2厅2卫 ,109平米, 47156元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_484370796.html
 北京四季世家, 朝阳 , 燕莎 ,2300万, 2室2厅2卫 ,266平米, 86466元/平米 ,东南北,低层,精装修,https://esf.fang.com/chushou/3_484344758.html
 中建壹品·花香壹号, 丰台 , 科技园区 ,783万, 4室2厅2卫 ,139平米, 56331元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_484363036.html
 北京四季世家, 朝阳 , 燕莎 ,3200万, 3室2厅3卫 ,254平米, 125984元/平米 ,南,高层,豪华装修,https://esf.fang.com/chushou/3_484344804.html
 北京四季世家, 朝阳 , 燕莎 ,2300万, 2室2厅3卫 ,243平米, 94650元/平米 ,南,低层,精装修,https://esf.fang.com/chushou/3_484344814.html
 鸿坤理想城, 大兴 , 西红门 ,520万, 2室1厅1卫 ,94.87平米, 54812元/平米 ,南北,高层,简装修,https://esf.fang.com/chushou/3_484370993.html
 东升园, 海淀 , 五道口 ,1300万, 3室1厅2卫 ,116.84平米, 111263元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_484223550.html
